"Symbol"
"1339.HK"
"BRK-A"
"ALV.DE"
"CS.PA"
"PGR"
"ALL"
"2318.HK"
"ZURN.SW"
"MUV2.DE"
"CB"
"TLX.DE"
"AIG"
"TRV"
"8766.T"
"SREN.SW"
"G.MI"
"8725.T"
"FFH.TO"
"8630.T"
"2601.HK"
"MAP.MC"
"QBE.AX"
"IFC.TO"
"AIZ"
"1508.HK"
"HIG"
"ACGL"
"CNA"
"RE"
"MKL"
"AV.L"
