"Symbol"
"APLN.JK"
"ASRI.JK"
"BAPA.JK"
"BCIP.JK"
"BEST.JK"
"BIKA.JK"
"BIPP.JK"
"BKDP.JK"
"BKSL.JK"
"BSDE.JK"
"COWL.JK"
"CTRA.JK"
"DART.JK"
"DILD.JK"
"DMAS.JK"
"DUTI.JK"
"ELTY.JK"
"EMDE.JK"
"FMII.JK"
"GAMA.JK"
"GMTD.JK"
"GPRA.JK"
"GWSA.JK"
"JRPT.JK"
"KIJA.JK"
"KPIG.JK"
"LCGP.JK"
"LPCK.JK"
"LPKR.JK"
"MDLN.JK"
"MKPI.JK"
"MMLP.JK"
"MTLA.JK"
"MTSM.JK"
"NIRO.JK"
"OMRE.JK"
"PLIN.JK"
"PPRO.JK"
"PUDP.JK"
"PWON.JK"
"RBMS.JK"
"RDTX.JK"
"RODA.JK"
"SMDM.JK"
"SMRA.JK"
"TARA.JK"
"ACST.JK"
"ADHI.JK"
"DGIK.JK"
"IDPR.JK"
"JKON.JK"
"NRCA.JK"
"PTPP.JK"
"TOTL.JK"
"WIKA.JK"
"WSKT.JK"
